Horodateur,Genre,Êtes vous?,Quelle était votre série en Terminale ?,Quelle a été votre matière préférée au Lycée?,"Si vous êtes étudiant, quel parcours suivez vous? ou 
Si vous êtes un professionnel, dans quelle domaine exercez vous?",Quel(s) Caractère(s) définissent votre personnalité ?,Quels sont vos centres d’intérêts ?,Êtes vous satisfait de votre parcours académique ?,Votre travail actuel est il en adéquation avec votre parcours académique?,Ou avez vous fait vos études supérieurs ?
26/08/2026 14:42:52,Femme,Encore Etudiant,D,svt,"Informatique / Technologies de l’Information et de la Communication, Génie Civil et Architecture","Realiste : Manipuler, Construire, Reparer, Artistique : Creer, Imaginer, S'exprimer, Social : Prompt à Aider, Enseigner, Accompagner, Conventionnel : Organiser, Gerer, Structurer",Membre dans des associations culturelles,3,Oui,"ISSIG, EMEDIA, ISPM"
26/08/2026 14:45:13,Femme,Encore Etudiant,D,Philosophie,Intelligence Artificielle,"Investigateur : Comprendre, Analyser, Resoudre",Voyager,,,Oui
26/08/2026 14:47:44,Femme,Un Professionnel,D,SVT,Industrie Agroalimentaire,"Investigateur : Comprendre, Analyser, Resoudre, Social : Prompt à Aider, Enseigner, Accompagner, Entreprenant : Diriger, Convaincre, Negocier, Conventionnel : Organiser, Gerer, Structurer","Beaucoup, mais surtout les réseaux sociaux et la lecture",2,Oui,ISPM
26/08/2026 14:49:01,Homme,Encore Etudiant,C,Mathématiques,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle, Électronique / Systèmes Informatiques","Realiste : Manipuler, Construire, Reparer, Investigateur : Comprendre, Analyser, Resoudre",_—_,5,,ENI Fianarantsoa
26/08/2026 14:52:35,Homme,Encore Etudiant,S,Mathématiques ,Informatique / Technologies de l’Information et de la Communication,"Investigateur : Comprendre, Analyser, Resoudre","Les échecs, l'astrologie et la technologie ",4,,Advancea 
26/08/2026 14:53:35,Homme,Encore Etudiant,C,Aucune,Informatique / Technologies de l’Information et de la Communication,"Investigateur : Comprendre, Analyser, Resoudre","Football, Natation ",5,Oui,
26/08/2026 14:54:07,Femme,Encore Etudiant,D,SVT,Industrie Agroalimentaire,"Artistique : Creer, Imaginer, S'exprimer, Conventionnel : Organiser, Gerer, Structurer","Crochet, macramé, coutures, cuisine, le chant",3,,Institut Supérieur périeur Polytechnique de Madagascar 
26/08/2026 14:55:44,Homme,Encore Etudiant,C,"Mathématique, physique, informatique",Informatique / Technologies de l’Information et de la Communication,"Realiste : Manipuler, Construire, Reparer, Social : Prompt à Aider, Enseigner, Accompagner, Entreprenant : Diriger, Convaincre, Negocier, Conventionnel : Organiser, Gerer, Structurer","Jeu vidéo, anime, programmation",4,,IT University Madagascar
26/08/2026 14:56:42,Homme,Encore Etudiant,D,Physics,"Intelligence Artificielle, Électronique / Systèmes Informatiques","Realiste : Manipuler, Construire, Reparer","Jeux Video, Lire, Anime",,,
26/08/2026 14:58:02,Homme,Encore Etudiant,D,Éducation de Vie et Amoureuse (EVA),Génie Civil et Architecture,"Artistique : Creer, Imaginer, S'exprimer",Critiquer,3,Oui,ISPM
26/08/2026 15:05:09,Femme,Un Professionnel,TGI,Français,"Commerce et Administration des Affaires, Finances et Comptabilité","Realiste : Manipuler, Construire, Reparer, Social : Prompt à Aider, Enseigner, Accompagner","Decoration, danse",2,Oui,Lycée Technique Ampefiloha
26/08/2026 15:11:46,Homme,Un Professionnel,C,Mathématiques ,"Informatique / Technologies de l’Information et de la Communication, Graphisme et web design","Realiste : Manipuler, Construire, Reparer, Artistique : Creer, Imaginer, S'exprimer","Nouvelles technologies, photographie, production musicale",4,Oui,CNTEMAD
26/08/2026 15:12:21,Homme,Un Professionnel,A,"Tout ce qui est logique ( et ouais, je me suis trompé de filière)","Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle","Investigateur : Comprendre, Analyser, Resoudre",Musique ,1,Oui,
26/08/2026 15:14:06,Homme,Un Professionnel,C,Mathématiques,Enseignement,"Investigateur : Comprendre, Analyser, Resoudre",Informatique,5,Oui,Ankatso
26/08/2026 15:17:55,Homme,Un Professionnel,TGI,Mathématiques financières ,Économie et Management de Projet,"Investigateur : Comprendre, Analyser, Resoudre",Échecs ,3,Non,Ist Tanà
26/08/2026 15:18:38,Homme,Encore Etudiant,D,"Mathematics, SVT, Chimie","Informatique / Technologies de l’Information et de la Communication, Électronique / Systèmes Informatiques","Realiste : Manipuler, Construire, Reparer, Investigateur : Comprendre, Analyser, Resoudre, Artistique : Creer, Imaginer, S'exprimer",Gaming,3,,ISPM
26/08/2026 15:19:39,Femme,Un Professionnel,TGI,Mathematique financière ,Commerce et Administration des Affaires,"Conventionnel : Organiser, Gerer, Structurer","Voyager, lire",3,Non,Inpf Ivato
26/08/2026 15:25:24,Homme,Encore Etudiant,S,Mathématiques ,Informatique / Technologies de l’Information et de la Communication,"Social : Prompt à Aider, Enseigner, Accompagner",Les études enligne ,3,,
26/08/2026 15:31:47,Femme,Un Professionnel,C,Math,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle, Électronique / Systèmes Informatiques","Realiste : Manipuler, Construire, Reparer, Entreprenant : Diriger, Convaincre, Negocier, Conventionnel : Organiser, Gerer, Structurer","musique, pétanque, lire ",4,Oui,ISPM
26/08/2026 15:36:46,Homme,Encore Etudiant,D,Mathématiques ,Électronique / Systèmes Informatiques,"Investigateur : Comprendre, Analyser, Resoudre","Jazz, Animé, Sport",,,ISPM
26/08/2026 15:39:40,Homme,Encore Etudiant,S,Mathématiques,Informatique / Technologies de l’Information et de la Communication,"Realiste : Manipuler, Construire, Reparer, Investigateur : Comprendre, Analyser, Resoudre, Entreprenant : Diriger, Convaincre, Negocier",Sports,5,,
26/08/2026 15:42:19,Homme,Encore Etudiant,D,Physique-Chimie,Informatique / Technologies de l’Information et de la Communication,"Investigateur : Comprendre, Analyser, Resoudre, Conventionnel : Organiser, Gerer, Structurer","Football, jeux vidéo, animé/manga",4,,Haute Ecole d'Informatique - HEI
26/08/2026 15:44:06,Homme,Encore Etudiant,D,Mathématiques ,Économie et Management de Projet,"Investigateur : Comprendre, Analyser, Resoudre",Jeux vidéo et le basket 🏀,4,Oui,Cntmad
26/08/2026 15:48:00,Homme,Un Professionnel,L,Anglais,"Électronique / Systèmes Informatiques, Économie et Management de Projet, Finances et Comptabilité","Conventionnel : Organiser, Gerer, Structurer","Dormir, et faire mes travaux ",4,Oui,
26/08/2026 15:51:01,Femme,Encore Etudiant,C,Mathématiques ,Informatique / Technologies de l’Information et de la Communication,"Investigateur : Comprendre, Analyser, Resoudre","Danse, lecture ",4,,ENI Fianarantsoa 
26/08/2026 16:04:27,Homme,Encore Etudiant,D,Mathématiqye,Informatique / Technologies de l’Information et de la Communication,"Realiste : Manipuler, Construire, Reparer, Artistique : Creer, Imaginer, S'exprimer, Conventionnel : Organiser, Gerer, Structurer",Arts martiaux,5,,ISPM
26/08/2026 16:05:14,Homme,Encore Etudiant,C,Physique chimie ,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle","Investigateur : Comprendre, Analyser, Resoudre",Jeux vidéo ,5,Oui,École 42
26/08/2026 16:05:51,Homme,Un Professionnel,A,SVT ET HISTO-GEO,"Agriculture et Élevage, Environnement","Social : Prompt à Aider, Enseigner, Accompagner","Jeux vidéos,  lecture ",5,Non,Institut Professionnel Supérieur en Agronomie et Technologie de Tombontsoa Antsirabe 
26/08/2026 16:10:59,Homme,Encore Etudiant,S,Sciences Humaines,"Intelligence Artificielle, Économie et Management de Projet, Finances et Comptabilité","Investigateur : Comprendre, Analyser, Resoudre, Entreprenant : Diriger, Convaincre, Negocier","Piano, Art Martiaux, jeux vidéo",5,Oui,INSCAE
26/08/2026 16:17:01,Homme,Un Professionnel,C,Mathématiques,Informatique / Technologies de l’Information et de la Communication,"Realiste : Manipuler, Construire, Reparer, Investigateur : Comprendre, Analyser, Resoudre, Artistique : Creer, Imaginer, S'exprimer",Jeu d'echecs ,3,Oui,
26/08/2026 16:19:38,Homme,Encore Etudiant,A,Physique-Chimie,Informatique / Technologies de l’Information et de la Communication,"Investigateur : Comprendre, Analyser, Resoudre, Artistique : Creer, Imaginer, S'exprimer","Foot-Ball
Jeux vidéo",4,Oui,
26/08/2026 16:20:08,Homme,Encore Etudiant,C,Physique chimie ,"Informatique / Technologies de l’Information et de la Communication, Électronique / Systèmes Informatiques","Realiste : Manipuler, Construire, Reparer, Investigateur : Comprendre, Analyser, Resoudre, Conventionnel : Organiser, Gerer, Structurer",Jeux vidéo ,4,,
26/08/2026 16:23:42,Homme,Encore Etudiant,D,Math,Informatique / Technologies de l’Information et de la Communication,"Investigateur : Comprendre, Analyser, Resoudre",Basket Ball,4,Oui,ITU
26/08/2026 16:23:43,Homme,Encore Etudiant,A,"Malagasy , HG",Informatique / Technologies de l’Information et de la Communication,"Realiste : Manipuler, Construire, Reparer",Jeux et open source,3,Oui,Au CNTEMAD 
26/08/2026 16:32:35,Femme,Encore Etudiant,A,Mathématiques,Industrie Agroalimentaire,"Conventionnel : Organiser, Gerer, Structurer",L'apprentissage et le gain ,3,Non,ISPM 
26/08/2026 16:32:58,Homme,Un Professionnel,D,SVT,Informatique / Technologies de l’Information et de la Communication,"Realiste : Manipuler, Construire, Reparer, Conventionnel : Organiser, Gerer, Structurer","Jeux vidéos, foot",4,Oui,ESTI
26/08/2026 16:34:59,Homme,Un Professionnel,D,physique chimie,Informatique / Technologies de l’Information et de la Communication,"Realiste : Manipuler, Construire, Reparer","musique, voyage, pêche",3,Oui,ISPM
26/08/2026 16:47:59,Homme,Encore Etudiant,D,SVT et mathématiques ,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle","Investigateur : Comprendre, Analyser, Resoudre, Entreprenant : Diriger, Convaincre, Negocier","Jeux vidéo, sport ,informatique ",3,Oui,IT University
26/08/2026 16:48:07,Homme,Un Professionnel,D,Math,Informatique / Technologies de l’Information et de la Communication,"Realiste : Manipuler, Construire, Reparer, Conventionnel : Organiser, Gerer, Structurer",Tout et rien,3,Oui,iSpM
26/08/2026 16:49:45,Femme,Encore Etudiant,D,Sciences de vie et de la Terre,Industrie Agroalimentaire,"Realiste : Manipuler, Construire, Reparer","Sciences, découvrir de nouvelles choses, voyager ",4,,ISPM
26/08/2026 16:55:38,Homme,Encore Etudiant,D,Mathématiques,Économie et Management de Projet,"Investigateur : Comprendre, Analyser, Resoudre","Les jeux vidéos, lire, le basket-ball ",4,Oui,"Faculté EGS, Université d'Antananarivo"
26/08/2026 17:01:33,Femme,Encore Etudiant,C,Mathématique,"Informatique / Technologies de l’Information et de la Communication, Électronique / Systèmes Informatiques, Économie et Management de Projet","Investigateur : Comprendre, Analyser, Resoudre",Info,1,Oui,ISPM
26/08/2026 17:18:13,Femme,Encore Etudiant,D,Physique chimie ,"Industries Chimiques, Minières et Pétrolières","Entreprenant : Diriger, Convaincre, Negocier",Danser,3,Non,ISPM Antsobolo
26/08/2026 17:23:25,Homme,Encore Etudiant,C,Mathématiques,Intelligence Artificielle,"Social : Prompt à Aider, Enseigner, Accompagner",le data et l'IA,3,Oui,ENI Fianarantsoa
26/08/2026 17:24:00,Femme,Encore Etudiant,D,SVT,Informatique / Technologies de l’Information et de la Communication,"Artistique : Creer, Imaginer, S'exprimer","Musique,art et sport",3,,ISPM antsobolo
